Rest_id,name,lat,lon,rating
481,The Blaze,28.4180994,77.0961512,2.9
482,Ullu Delivers,28.4250399,77.0993188,2.8
483,Dimsum Democracy,28.42846486,77.10009377,3.6
484,The Punjab Kitchen,28.413665,77.112886,3.9
485,Too Maach,28.4286826,77.1000307,3.5
486,Kwality,28.4251185,77.0992084,2.4
487,Ginger Garlic,28.4217218,77.0904414,2.8
488,Burger Xpress,28.4672588,77.017531,3.4
489,Dilli Light,28.4707962,77.0190993,2.6
490,Tandoori Adda,28.4700416,77.0143446,3.2
491,Cafe Cup of Life,28.4681375,77.0162592,3.7
492,Kishu Di Hatti Sweets,28.4663672,77.0175244,3.6
493,KC Bakers,28.455974,77.022728,3.2
494,Sham Sweets,28.4525161,77.0236993,2.8
495,Gopala,28.4658365,77.0998689,3.4
496,Halki Aanch,28.4656305,77.0997223,3.3
497,New Sukh Sagar,28.465995,77.1000176,3.2
498,Sweets Corner,28.4658854,77.0993432,2.7
499,Burger Singh,28.42447847,77.03890722,3.4
500,Chaayos,28.406494,77.0447688,3.3
501,Chai Point,28.4057383,77.0443061,3.4
502,Desi Thaat,28.4118349,77.0430886,3.2
503,Doughlicious,28.4064865,77.0447626,3.3
504,Gulshan Dhaba,28.4579514,77.0276151,3.4
505,Karari Kurry,28.41240966,77.04253683,3.4
506,Moti Mahal Delux,28.4268302,77.0381858,3.2
507,Needs Gourmet,28.4025286,77.0451575,3.1
508,Sadabahar Hotel,28.4157403,77.0403449,2.9
509,Sagar Ratna,28.4209297,77.0383658,2.5
510,Shri Ram Restaurant,28.4116153,77.0417392,3.1
511,Shri Ram Restaurant,28.411627,77.0409296,2.6
512,Subway,28.4184165,77.0382435,2.9
513,Subway,28.4058183,77.0444681,2.9
514,Sugarcraft Patisserie,28.4117267,77.0484858,3.3
515,Tea Halt,28.4256547,77.0322081,2.8
516,The Golden Dragon,28.4201195,77.0406597,2.6
517,The Spice Room,28.406214,77.0452475,3.4
518,The Tongue Twister,28.266839,77.067268,3.4
519,BreakfastBay,28.41385572,77.04214934,3.5
520,Cafe Maple Street,28.4058584,77.0443479,3.5
521,Fat Monk,28.4255696,77.033013,3.9
522,Flying Tuk Tuk,28.4069177,77.0413794,3.9
523,FreshMenu,28.415066,77.041071,3.9
524,Little Skillet,28.4120391,77.0489356,3.5
525,PKay,28.4133766,77.0432685,3.7
526,Shama Chicken Corner,28.4120086,77.042099,3.6
527,Starbucks,28.4060983,77.0449776,3.7
528,Tandoori Nation,28.41864781,77.03833256,3.5
529,Truffle Tangles,28.4274393,77.0365475,3.5
530,Wah Ji Wah,28.4270829,77.0371694,2.4
531,The Brewhouse,28.41593885,77.04178983,4.1
532,Cake Point,28.4307097,77.0832002,2.8
533,Shyam Sweets,28.4316636,77.08893042,2.8
534,Bikanervala,28.4335066,77.1053224,3.4
